Seed,Alpha,Inf_Prob,Imputer,Model,MIM,Score,Time
126,0.1,0.6,mean,xgb,Dynamic_MIM,0.5868654833730466,50.835299015045166
126,0.1,0.6,mean,xgb,Dynamic_MIM_wGA,0.624854574746747,48.232343912124634
126,0.1,0.6,mean,mlp,Dynamic_MIM,0.681294508688706,1.5478107929229736
126,0.1,0.6,mean,mlp,Dynamic_MIM_wGA,0.6318152572074082,0.5999560356140137
126,0.1,0.7,mean,linear,Dynamic_MIM,0.6724937763586499,1.0526058673858643
126,0.1,0.7,mean,linear,Dynamic_MIM_wGA,0.6876214299079305,0.8828990459442139
126,0.1,0.7,mean,xgb,Dynamic_MIM,0.5868654833730466,50.996543884277344
126,0.1,0.7,mean,xgb,Dynamic_MIM_wGA,0.6281749882772741,47.238165616989136
126,0.1,0.7,mean,mlp,Dynamic_MIM,0.681294508688706,1.5184528827667236
126,0.1,0.7,mean,mlp,Dynamic_MIM_wGA,0.5886553997974979,0.7508530616760254
126,0.1,0.8,mean,linear,Dynamic_MIM,0.6542602530593697,1.1092476844787598
126,0.1,0.8,mean,linear,Dynamic_MIM_wGA,0.6685536811298374,0.964066743850708
126,0.1,0.8,mean,xgb,Dynamic_MIM,0.5624364510557838,52.148165702819824
126,0.1,0.8,mean,xgb,Dynamic_MIM_wGA,0.6084873865693267,46.82628059387207
126,0.1,0.8,mean,mlp,Dynamic_MIM,0.5884020637280167,1.6722157001495361
126,0.1,0.8,mean,mlp,Dynamic_MIM_wGA,0.6274278017621513,0.5374495983123779
126,0.1,0.9,mean,linear,Dynamic_MIM,0.5972759684314063,1.2225091457366943
126,0.1,0.9,mean,linear,Dynamic_MIM_wGA,0.6562964794922395,0.8764019012451172
126,0.1,0.9,mean,xgb,Dynamic_MIM,0.5455607792974891,57.25702691078186
126,0.1,0.9,mean,xgb,Dynamic_MIM_wGA,0.5640825894686825,46.8830840587616
126,0.1,0.9,mean,mlp,Dynamic_MIM,0.6559807885576819,1.9792189598083496
126,0.1,0.9,mean,mlp,Dynamic_MIM_wGA,0.5909390840744575,0.5094020366668701
126,0.1,1.0,mean,linear,Dynamic_MIM,0.5926609147219615,1.1397449970245361
126,0.1,1.0,mean,linear,Dynamic_MIM_wGA,0.6869937791410315,0.32410502433776855
126,0.1,1.0,mean,xgb,Dynamic_MIM,0.5465920393682085,10.955017805099487
126,0.1,1.0,mean,xgb,Dynamic_MIM_wGA,0.5724117716381203,9.04843282699585
126,0.1,1.0,mean,mlp,Dynamic_MIM,0.6381527726867839,0.5316617488861084
126,0.1,1.0,mean,mlp,Dynamic_MIM_wGA,0.552534538512107,0.5255088806152344
